dteday,hum,weathersit,holiday,season,atemp,temp,hr,casual,registered,cnt
2012-09-12,0.37,1,0,3,0.6364,0.7,14,78,200,278
2012-03-29,0.47,1,0,2,0.4545,0.46,8,26,628,654
2011-01-27,0.74,1,0,1,0.2121,0.18,22,0,27,27
2012-10-23,0.77,1,0,4,0.4545,0.46,1,1,16,17
2012-04-06,0.26,1,0,2,0.4394,0.44,21,54,136,190
2011-08-15,0.69,1,0,3,0.6212,0.66,22,22,76,98
2011-03-10,0.0,3,0,1,0.3182,0.34,0,3,0,3
2012-04-10,0.67,1,0,2,0.4242,0.42,9,16,303,319
2011-10-30,0.66,1,0,4,0.3485,0.32,21,4,75,79
2012-08-13,0.58,1,0,3,0.6818,0.74,19,88,467,555
2011-07-04,0.83,1,1,3,0.5758,0.64,2,33,30,63
2011-04-05,0.46,1,0,2,0.3939,0.38,16,17,113,130
2011-03-25,0.74,1,0,2,0.197,0.18,5,0,9,9
2012-05-30,0.88,3,0,2,0.5606,0.62,3,0,5,5
2011-11-30,0.81,1,0,4,0.2727,0.28,5,1,21,22
2012-06-10,0.4,1,0,2,0.6818,0.76,10,148,265,413
2011-11-09,0.93,1,0,4,0.3636,0.34,9,22,197,219
2012-06-30,0.32,1,0,3,0.7727,0.88,17,131,231,362
2011-12-22,0.62,2,0,1,0.4394,0.44,18,11,277,288
2011-12-20,0.54,2,0,4,0.4394,0.44,13,18,163,181
2012-11-28,0.75,2,0,4,0.2576,0.26,2,0,1,1
2011-10-30,0.57,1,0,4,0.3636,0.34,20,18,74,92
2011-12-06,1.0,2,0,4,0.4545,0.46,17,13,249,262
2012-03-19,0.64,1,0,1,0.6061,0.6,20,34,296,330
2011-08-06,0.55,1,0,3,0.7576,0.8,12,130,252,382
2011-08-30,0.61,1,0,3,0.6061,0.62,22,22,121,143
2012-10-23,0.53,1,0,4,0.6212,0.6,11,52,201,253
2012-01-10,0.93,2,0,1,0.197,0.18,8,6,465,471
2011-05-31,0.83,1,0,2,0.6061,0.66,4,0,3,3
2011-06-14,0.56,1,0,2,0.5152,0.54,6,6,107,113
2011-09-27,0.94,2,0,4,0.5455,0.62,3,5,5,10
2011-02-16,0.3,1,0,1,0.4242,0.42,13,13,80,93
2012-03-02,0.53,1,0,1,0.3182,0.34,2,2,4,6
2012-04-01,0.52,1,0,2,0.5,0.52,18,153,279,432
2012-11-04,0.56,1,0,4,0.303,0.3,8,34,115,149
2011-06-14,0.41,1,0,2,0.6364,0.68,16,51,279,330
2011-03-13,0.65,1,0,1,0.2576,0.26,23,5,23,28
2012-06-16,0.5,2,0,2,0.6212,0.64,21,98,192,290
2012-03-26,0.31,1,0,2,0.4697,0.48,11,47,131,178
2012-08-12,0.51,1,0,3,0.6667,0.72,21,78,142,220
2012-01-02,0.36,1,1,1,0.2727,0.3,14,10,141,151
2012-03-21,0.73,1,0,2,0.5455,0.58,16,91,287,378
2011-07-11,0.59,1,0,3,0.7424,0.78,9,41,167,208
2011-11-11,0.45,1,1,4,0.303,0.3,21,4,79,83
2011-06-13,0.41,1,0,2,0.6212,0.64,10,38,80,118
2012-10-26,0.88,2,0,4,0.5,0.52,6,2,142,144
2012-08-27,0.83,1,0,3,0.6061,0.66,8,29,670,699
2011-04-19,0.68,2,0,2,0.4848,0.5,8,20,331,351
2012-05-08,0.73,2,0,2,0.5152,0.54,8,36,605,641
2011-07-17,0.55,1,0,3,0.697,0.76,11,147,244,391
2012-06-24,0.33,1,0,3,0.697,0.8,13,237,348,585
2012-01-28,0.31,1,0,1,0.3182,0.32,23,6,79,85
2011-12-17,0.6,2,0,4,0.2576,0.26,5,2,7,9
2011-02-06,0.46,1,0,1,0.3636,0.34,13,47,135,182
2012-08-17,0.73,1,0,3,0.2424,0.64,5,2,34,36
2012-11-30,0.75,1,0,4,0.2879,0.24,3,0,4,4
2012-03-20,0.94,2,0,1,0.5,0.52,6,6,94,100
2012-02-10,0.45,2,0,1,0.3333,0.32,15,27,164,191
2012-10-27,0.64,1,0,4,0.5303,0.56,11,197,388,585
2012-06-07,0.68,1,0,2,0.5455,0.58,9,37,300,337
2012-01-06,0.33,1,0,1,0.4545,0.46,19,11,261,272
2011-08-24,0.48,1,0,3,0.6818,0.76,13,56,180,236
2011-09-15,0.67,1,0,3,0.4394,0.44,22,7,108,115
2012-06-13,0.83,1,0,2,0.5606,0.6,4,1,9,10
2012-03-07,0.62,1,0,1,0.4394,0.44,21,11,177,188
2012-10-05,0.78,1,0,4,0.5455,0.58,23,23,148,171
2012-10-19,0.77,1,0,4,0.5,0.52,20,13,216,229
2012-07-12,0.48,1,0,3,0.6667,0.74,20,75,439,514
2012-08-16,0.33,1,0,3,0.697,0.8,12,96,247,343
2012-07-08,0.42,3,0,3,0.8939,0.92,15,80,218,298
2011-03-16,1.0,3,0,1,0.2727,0.3,1,1,2,3
2012-04-12,0.61,1,0,2,0.2879,0.3,4,0,1,1
2012-11-26,0.66,2,0,4,0.3333,0.32,23,8,57,65
2012-01-25,0.53,2,0,1,0.3636,0.34,19,5,311,316
2012-10-19,0.83,2,0,4,0.5303,0.56,3,0,5,5
2011-10-30,0.5,1,0,4,0.3939,0.38,12,85,229,314
2012-06-20,0.35,1,0,2,0.8182,0.9,16,51,284,335
2012-01-06,0.43,1,0,1,0.4091,0.4,21,17,137,154
2012-05-06,0.83,3,0,2,0.5,0.52,5,1,10,11
2011-06-18,0.48,2,0,2,0.6818,0.76,17,210,239,449
2011-06-06,0.42,1,0,2,0.6667,0.74,11,39,72,111
2012-11-16,0.46,1,0,4,0.3485,0.36,19,26,306,332
2011-05-15,0.94,2,0,2,0.5152,0.54,8,24,46,70
2012-05-27,0.74,1,0,2,0.6364,0.68,10,209,215,424
2012-03-31,0.67,1,0,2,0.4697,0.48,17,238,305,543
2012-05-17,0.41,1,0,2,0.6212,0.62,13,86,241,327
2011-05-20,1.0,1,0,2,0.4545,0.46,1,8,17,25
2011-07-02,0.3,1,0,3,0.7121,0.82,13,178,226,404
2011-06-08,0.74,1,0,2,0.6212,0.66,7,24,329,353
2012-06-23,0.33,1,0,3,0.6667,0.76,21,99,223,322
2012-03-15,0.72,1,0,1,0.4394,0.44,7,14,367,381
2012-09-13,0.42,1,0,3,0.6515,0.72,17,97,787,884
2012-12-16,0.82,2,0,4,0.3939,0.38,15,46,292,338
2011-08-11,0.37,1,0,3,0.6515,0.72,20,56,232,288
2012-04-08,0.39,1,0,2,0.4848,0.5,23,10,41,51
2012-11-22,0.75,1,1,4,0.2576,0.24,5,2,6,8
2011-06-26,0.57,1,0,3,0.6212,0.62,2,17,70,87
2011-03-16,0.76,2,0,1,0.4091,0.4,16,30,121,151
2012-07-21,0.88,3,0,3,0.5455,0.58,6,3,12,15
2012-01-18,0.52,1,0,1,0.2727,0.3,8,15,474,489
2011-10-08,0.39,1,0,4,0.6212,0.66,15,262,234,496
2012-01-08,0.56,1,0,1,0.2424,0.26,23,0,30,30
2011-03-09,0.85,2,0,1,0.2576,0.24,6,5,44,49
2011-07-27,0.45,1,0,3,0.6818,0.76,20,55,239,294
2012-10-29,0.88,3,0,4,0.4394,0.44,0,2,20,22
2011-03-14,0.4,1,0,1,0.3333,0.36,11,26,45,71
2011-07-15,0.73,1,0,3,0.5909,0.6,3,1,6,7
2012-04-13,0.24,1,0,2,0.5303,0.56,17,117,621,738
2011-12-28,0.87,1,0,1,0.3182,0.32,0,0,10,10
2012-04-05,0.38,2,0,2,0.4242,0.42,11,109,159,268
2012-09-23,0.55,1,0,4,0.4545,0.46,4,1,9,10
2011-09-13,0.51,1,0,3,0.6667,0.74,15,35,145,180
2011-02-05,0.93,2,0,1,0.2424,0.28,19,6,78,84
2012-12-27,0.6,2,0,1,0.2273,0.24,18,9,188,197
2012-09-30,0.68,1,0,4,0.4848,0.5,21,19,104,123
2012-01-21,0.93,3,0,1,0.1515,0.16,10,0,45,45
2011-11-03,0.76,1,0,4,0.3333,0.34,2,2,5,7
2011-07-24,0.63,1,0,3,0.7879,0.8,21,42,111,153
2011-10-20,0.67,1,0,4,0.4394,0.44,9,26,197,223
2012-12-29,0.75,2,0,1,0.2424,0.24,5,0,3,3
2012-01-24,0.93,2,0,1,0.303,0.32,1,2,7,9
2011-07-31,0.28,1,0,3,0.7424,0.86,11,112,163,275
2011-02-08,0.93,2,0,1,0.2727,0.26,2,1,1,2
2012-10-31,0.57,1,0,4,0.3636,0.36,23,7,94,101
2012-03-30,0.57,1,0,2,0.3333,0.34,9,29,292,321
2011-06-22,0.52,2,0,3,0.7727,0.82,14,32,113,145
2011-06-18,0.52,2,0,2,0.697,0.76,16,193,275,468
2011-03-16,0.54,2,0,1,0.4394,0.44,18,26,211,237
2012-01-27,0.51,1,0,1,0.4697,0.48,15,27,170,197
2012-01-03,0.55,1,0,1,0.1364,0.16,8,5,349,354
2012-02-05,0.7,2,0,1,0.2576,0.26,11,22,160,182
2011-11-16,1.0,2,0,4,0.4545,0.46,14,12,49,61
2012-06-06,0.77,1,0,2,0.5,0.52,23,13,110,123
2012-05-02,0.78,2,0,2,0.5455,0.58,13,49,179,228
2011-07-04,0.46,1,1,3,0.7273,0.8,17,240,196,436
2011-03-15,0.53,1,0,1,0.3485,0.32,0,7,7,14
2011-11-02,0.87,1,0,4,0.3636,0.34,9,15,213,228
2011-12-03,0.65,1,0,4,0.2576,0.24,6,1,10,11
2012-08-28,0.57,1,0,3,0.6364,0.68,23,17,92,109
2012-05-03,0.77,1,0,2,0.5152,0.54,11,34,167,201
2012-03-23,0.88,2,0,2,0.5303,0.56,10,125,150,275
2012-06-10,0.62,1,0,2,0.6818,0.72,21,83,170,253
2012-06-07,0.88,1,0,2,0.4545,0.46,4,0,6,6
2011-05-26,0.73,1,0,2,0.6061,0.64,0,11,34,45
2012-10-17,0.59,1,0,4,0.5,0.52,18,90,794,884
2011-11-27,0.52,1,0,4,0.5303,0.56,16,94,229,323
2012-05-05,0.78,1,0,2,0.5758,0.6,20,100,209,309
2011-08-21,0.79,1,0,3,0.697,0.72,17,91,179,270
2012-06-01,0.74,2,0,2,0.6667,0.7,12,72,238,310
2011-07-09,0.36,1,0,3,0.7273,0.82,18,132,246,378
2011-07-05,0.43,1,0,3,0.7273,0.8,12,71,130,201
2012-11-21,0.61,1,0,4,0.3485,0.34,20,11,125,136
2011-03-12,0.65,1,0,1,0.2273,0.24,3,1,6,7
2012-03-29,0.42,1,0,2,0.4848,0.5,12,64,228,292
2012-01-31,0.58,1,0,1,0.4091,0.4,20,15,223,238
2012-02-02,0.43,1,0,1,0.3939,0.38,19,16,311,327
2011-07-20,0.84,1,0,3,0.6667,0.7,0,11,29,40
2011-06-25,0.48,1,0,3,0.6515,0.7,20,74,195,269
2012-04-14,0.58,1,0,2,0.4091,0.4,0,11,85,96
2012-09-08,0.74,1,0,3,0.6667,0.7,9,87,261,348
2011-04-14,0.76,1,0,2,0.3939,0.38,0,3,18,21
2011-08-23,0.34,1,0,3,0.6364,0.7,11,62,124,186
2012-10-04,0.89,2,0,4,0.5758,0.64,4,0,10,10
2011-10-03,0.81,1,0,4,0.3788,0.36,3,1,6,7
2012-09-29,0.6,1,0,4,0.5152,0.54,0,15,134,149
2012-09-27,0.83,3,0,4,0.5758,0.62,21,18,235,253
2011-08-21,0.63,1,0,3,0.7879,0.8,11,132,181,313
2012-08-19,0.78,3,0,3,0.5909,0.62,21,36,154,190
2011-03-30,0.81,3,0,2,0.2576,0.28,15,14,56,70
2012-03-12,0.4,1,0,1,0.5303,0.56,15,74,159,233
2011-05-21,0.88,1,0,2,0.4545,0.46,4,1,6,7
2012-07-07,0.66,1,0,3,0.7576,0.78,0,35,115,150
2012-04-11,0.35,1,0,2,0.4242,0.42,17,52,527,579
2011-03-17,0.59,2,0,1,0.4545,0.46,18,50,260,310
2011-01-05,0.38,1,0,1,0.2424,0.24,18,3,166,169
2012-06-03,0.6,1,0,2,0.5152,0.54,0,27,142,169
2012-05-08,0.52,2,0,2,0.5,0.52,0,10,28,38
2011-07-13,0.83,1,0,3,0.6061,0.66,23,33,83,116
2011-12-23,0.94,3,0,1,0.3939,0.38,2,1,12,13
2011-06-01,0.7,1,0,2,0.697,0.74,21,29,161,190
2011-09-13,0.78,1,0,3,0.5758,0.6,2,2,0,2
2011-03-17,0.42,1,0,1,0.4848,0.5,17,48,265,313
2012-06-23,0.44,1,0,3,0.6515,0.72,23,69,156,225
2011-02-03,0.51,1,0,1,0.2121,0.18,22,2,39,41
2012-10-04,0.56,1,0,4,0.6212,0.6,23,18,137,155
2011-07-16,0.45,1,0,3,0.6818,0.76,15,205,223,428
2012-05-19,0.38,1,0,2,0.6212,0.62,11,235,351,586
2012-05-10,0.42,1,0,2,0.4848,0.5,21,19,211,230
2012-07-01,0.79,1,0,3,0.6667,0.7,4,0,4,4
2011-09-29,0.65,1,0,4,0.6061,0.64,10,24,103,127
2011-11-24,0.5,1,1,4,0.4242,0.42,18,13,24,37
2011-07-01,0.69,1,0,3,0.6061,0.62,2,6,7,13
2012-11-15,0.61,2,0,4,0.3333,0.34,19,11,375,386
2011-12-28,0.57,1,0,1,0.2879,0.32,8,11,206,217
2012-07-22,0.88,1,0,3,0.5455,0.6,5,0,6,6
2011-08-05,0.74,1,0,3,0.6212,0.66,0,13,41,54
2012-01-04,0.4,2,0,1,0.197,0.2,17,9,272,281
2012-06-18,0.69,2,0,2,0.6061,0.62,18,47,595,642
2012-09-06,0.89,1,0,3,0.5758,0.64,23,19,150,169
2011-04-25,1.0,2,0,2,0.5,0.52,7,13,183,196
2012-10-02,0.94,3,0,4,0.5455,0.62,19,27,368,395
2012-08-01,0.66,1,0,3,0.697,0.74,19,88,564,652
2011-12-28,0.39,1,0,1,0.2879,0.34,13,24,135,159
2011-03-26,0.24,1,0,2,0.303,0.32,17,102,101,203
2012-06-18,0.88,3,0,2,0.5,0.52,6,0,37,37
2012-07-05,0.39,2,0,3,0.8333,0.9,18,96,511,607
2011-12-17,0.45,1,0,4,0.2727,0.28,16,30,192,222
2012-12-25,0.66,2,1,1,0.303,0.32,20,11,29,40
2011-08-26,0.62,1,0,3,0.7424,0.78,16,50,293,343
2011-06-06,0.88,1,0,2,0.5455,0.58,2,4,4,8
2011-07-27,0.28,1,0,3,0.7121,0.82,18,78,463,541
2011-09-23,1.0,3,0,4,0.5,0.6,14,3,21,24
2012-07-04,0.69,1,1,3,0.6364,0.68,4,5,11,16
2012-09-14,0.77,1,0,3,0.5152,0.54,3,5,9,14
2011-07-14,0.35,1,0,3,0.6515,0.74,12,51,172,223
2011-10-11,0.88,2,0,4,0.5,0.52,5,0,20,20
2011-10-13,0.83,3,0,4,0.5758,0.62,18,20,248,268
2011-11-26,0.62,2,0,4,0.4242,0.42,18,67,118,185
2011-09-16,0.48,2,0,3,0.5,0.52,16,67,291,358
2012-01-25,0.46,1,0,1,0.3788,0.36,15,30,125,155
2011-02-26,0.49,2,0,1,0.303,0.3,10,14,71,85
2012-12-31,0.48,2,0,1,0.2576,0.26,16,30,184,214
2011-08-27,0.84,2,0,3,0.6667,0.7,4,1,3,4
2011-12-22,0.87,2,0,1,0.3788,0.36,8,10,333,343
2012-01-27,0.94,2,0,1,0.4242,0.42,3,3,5,8
2011-01-19,0.93,2,0,1,0.2576,0.22,5,0,7,7
2011-06-06,0.73,1,0,2,0.6061,0.64,8,28,410,438
2011-03-23,0.76,3,0,2,0.3182,0.34,1,0,7,7
2011-06-24,0.4,1,0,3,0.6515,0.74,19,92,293,385
2012-04-13,0.46,1,0,2,0.3939,0.38,8,24,539,563
2011-06-16,0.78,2,0,2,0.5909,0.64,17,42,230,272
2011-02-09,0.49,1,0,1,0.1061,0.06,7,4,95,99
2012-03-09,0.24,1,0,1,0.4545,0.46,15,50,188,238
2011-08-22,0.3,1,0,3,0.6515,0.74,15,72,127,199
2012-07-16,0.79,1,0,3,0.6364,0.68,6,8,132,140
2011-03-31,0.87,2,0,2,0.303,0.3,19,12,118,130
2011-04-20,0.36,1,0,2,0.6212,0.66,21,38,134,172
2012-01-23,0.86,3,0,1,0.2576,0.2,7,8,114,122
2011-09-22,0.83,2,0,3,0.6061,0.66,13,38,155,193
2012-12-10,0.94,3,0,4,0.4545,0.46,11,8,126,134
2012-09-16,0.5,1,0,3,0.6212,0.62,18,120,361,481
2012-10-14,0.46,1,0,4,0.6212,0.62,12,200,362,562
2011-12-24,0.7,2,0,1,0.3182,0.32,0,3,20,23
2012-05-31,0.5,1,0,2,0.6212,0.66,22,43,221,264
2012-05-16,0.73,1,0,2,0.6061,0.64,21,63,330,393
2011-01-13,0.44,1,0,1,0.1667,0.2,12,3,49,52
2012-06-14,0.6,1,0,2,0.5455,0.58,6,12,169,181
2011-05-20,0.64,1,0,2,0.5303,0.56,21,40,155,195
2011-12-25,0.7,1,0,1,0.303,0.32,13,40,39,79
2012-01-16,0.59,1,1,1,0.1515,0.16,11,21,158,179
2011-07-15,0.73,1,0,3,0.5909,0.6,5,7,16,23
2012-07-26,0.66,1,0,3,0.803,0.8,11,69,143,212
2012-12-12,0.46,2,0,4,0.3485,0.34,15,21,207,228
2012-04-10,0.3,1,0,2,0.4394,0.44,21,15,191,206
2011-07-07,0.52,1,0,3,0.7727,0.82,19,79,286,365
2011-02-21,0.57,2,1,1,0.303,0.32,9,11,46,57
2012-07-27,0.47,1,0,3,0.803,0.86,14,105,221,326
2012-03-28,0.39,2,0,2,0.5152,0.54,12,50,218,268
2012-10-30,0.81,2,0,4,0.2879,0.3,20,5,76,81
2012-06-11,0.43,2,0,2,0.7273,0.8,18,105,726,831
2012-11-17,0.7,1,0,4,0.2273,0.24,4,1,6,7
2011-09-07,0.93,3,0,3,0.5152,0.6,14,1,24,25
2012-02-14,0.45,2,0,1,0.303,0.3,11,5,107,112
2012-02-11,0.81,3,0,1,0.2576,0.26,2,2,24,26
2011-01-09,0.43,1,0,1,0.1364,0.16,19,1,40,41
2012-02-21,0.56,1,0,1,0.303,0.26,1,0,7,7
2012-12-14,0.75,1,0,4,0.303,0.28,23,11,123,134
2011-06-21,0.88,2,0,3,0.5455,0.6,4,2,7,9
2012-07-26,0.7,1,0,3,0.6818,0.72,23,18,127,145
2011-09-01,0.58,1,0,3,0.6515,0.7,19,79,364,443
2011-01-08,0.32,1,0,1,0.1667,0.2,14,12,83,95
2011-06-24,0.48,1,0,3,0.6515,0.7,22,41,126,167
2012-05-27,0.58,1,0,2,0.7121,0.76,18,266,252,518
2012-12-01,0.81,1,0,4,0.303,0.26,0,9,99,108
2011-09-08,0.89,3,0,3,0.5909,0.66,15,24,115,139
2012-10-21,0.54,1,0,4,0.4394,0.44,0,35,119,154
2012-01-10,0.93,2,0,1,0.197,0.18,9,11,184,195
2011-05-23,0.62,2,0,2,0.6818,0.72,15,57,119,176
2012-06-29,0.34,1,0,3,0.9242,0.98,17,82,457,539
2011-02-09,0.34,2,0,1,0.1818,0.2,15,3,61,64
2011-09-05,0.94,2,1,3,0.5909,0.66,21,20,40,60
2011-04-15,0.82,2,1,2,0.3939,0.38,22,16,64,80
2012-08-14,0.62,1,0,3,0.6818,0.74,11,69,127,196
2012-04-29,0.28,1,0,2,0.6061,0.6,16,240,347,587
2012-07-14,0.51,2,0,3,0.6515,0.7,1,13,105,118
2011-03-08,0.64,1,0,1,0.2727,0.22,4,0,2,2
2011-08-08,0.44,1,0,3,0.7576,0.84,13,43,108,151
2011-02-25,0.94,3,0,1,0.4242,0.42,10,7,42,49
2011-05-25,0.73,1,0,2,0.6061,0.64,23,12,74,86
2012-12-19,0.75,1,0,4,0.2879,0.26,5,2,29,31
2011-06-11,0.79,1,0,2,0.6364,0.68,4,4,9,13
2011-08-08,0.89,1,0,3,0.5909,0.66,4,2,8,10
2012-05-05,0.78,2,0,2,0.5455,0.58,21,86,183,269
2012-08-16,0.54,1,0,3,0.6515,0.7,23,58,168,226
2012-05-13,0.5,2,0,2,0.6212,0.66,19,107,232,339
2011-07-14,0.42,1,0,3,0.6515,0.72,18,94,484,578
2012-11-01,0.57,1,0,4,0.3485,0.36,22,27,175,202
2011-09-28,0.88,1,0,4,0.5455,0.6,1,1,13,14
2011-02-13,0.39,1,0,1,0.2879,0.32,11,26,86,112
2011-04-09,0.93,2,0,2,0.2879,0.3,6,0,13,13
2011-12-07,0.94,3,0,4,0.4242,0.42,16,3,28,31
2011-04-13,0.94,2,0,2,0.3939,0.38,9,2,63,65
2012-05-03,0.88,2,0,2,0.4545,0.46,4,0,2,2
2011-03-29,0.42,1,0,2,0.3636,0.34,21,8,75,83
2011-04-24,0.61,1,0,2,0.6212,0.66,15,167,202,369
2012-12-28,0.52,2,0,1,0.2727,0.28,11,71,107,178
2012-03-18,0.82,1,0,1,0.4545,0.46,1,25,88,113
2011-10-18,0.49,2,0,4,0.6212,0.6,11,35,112,147
2011-01-13,0.5,1,0,1,0.1212,0.14,4,0,4,4
2012-09-06,0.78,1,0,3,0.6061,0.66,20,50,356,406
2011-10-15,0.33,1,0,4,0.6212,0.6,14,242,230,472
2012-04-05,0.31,1,0,2,0.4545,0.46,13,89,202,291
2011-04-16,0.88,3,0,2,0.4848,0.5,17,1,14,15
2011-08-10,0.61,1,0,3,0.6364,0.68,5,2,30,32
2012-10-20,0.72,1,0,4,0.4394,0.44,4,9,9,18
2012-10-19,0.88,2,0,4,0.5152,0.54,2,1,9,10
2011-02-10,0.54,2,0,1,0.1212,0.12,6,0,26,26
2012-11-17,0.38,1,0,4,0.4242,0.42,14,175,380,555
2012-01-10,0.46,1,0,1,0.3939,0.38,19,11,270,281
2012-08-23,0.83,2,0,3,0.5758,0.62,7,18,463,481
2011-04-10,1.0,2,0,2,0.3636,0.36,7,3,7,10
2012-10-17,0.72,1,0,4,0.4848,0.5,19,49,467,516
2012-12-21,0.57,2,0,1,0.2879,0.34,6,4,76,80
2011-05-01,0.82,2,0,2,0.4545,0.46,22,32,68,100
2011-01-10,0.5,1,0,1,0.1212,0.12,1,1,0,1
2012-10-05,0.73,1,0,4,0.5152,0.54,2,1,10,11
2011-08-13,0.83,2,0,3,0.6364,0.68,22,36,118,154
2011-05-29,0.79,1,0,2,0.6667,0.7,20,91,128,219
2012-08-21,0.73,1,0,3,0.6061,0.64,20,62,296,358
2012-01-08,0.52,1,0,1,0.303,0.3,8,4,53,57
2011-12-10,0.31,1,0,4,0.303,0.34,14,51,242,293
2011-03-20,0.53,2,0,1,0.3182,0.34,21,10,39,49
2011-08-25,0.79,3,0,3,0.6667,0.7,12,9,32,41
2012-04-17,0.43,1,0,2,0.6212,0.6,7,18,443,461
2012-10-08,0.81,1,1,4,0.3485,0.34,3,2,8,10
2012-02-09,0.34,1,0,1,0.3333,0.34,17,12,387,399
2011-03-27,0.41,1,0,2,0.2576,0.26,22,5,25,30
2011-12-26,0.46,1,1,1,0.2879,0.34,11,40,51,91
2011-04-21,0.29,1,0,2,0.4848,0.5,17,79,402,481
2011-07-25,0.74,1,0,3,0.697,0.72,20,55,247,302
2011-07-13,0.46,1,0,3,0.7576,0.82,10,33,80,113
2011-05-31,0.94,2,0,2,0.5909,0.66,2,5,7,12
2012-11-03,0.53,1,0,4,0.3333,0.34,20,23,158,181
2011-05-12,0.77,2,0,2,0.4848,0.5,9,21,191,212
2011-11-13,0.28,2,0,4,0.5152,0.54,14,108,263,371
2012-10-13,0.36,1,0,4,0.4545,0.46,13,235,435,670
2011-12-25,0.75,1,0,1,0.2273,0.2,6,0,1,1
2011-07-30,0.55,1,0,3,0.697,0.76,2,11,31,42
2012-06-14,0.48,1,0,2,0.6667,0.72,17,117,750,867
2012-03-03,0.51,1,0,1,0.4394,0.44,13,87,252,339
2012-09-09,0.36,1,0,3,0.6212,0.66,18,156,404,560
2011-08-20,0.49,1,0,3,0.7424,0.8,14,147,228,375
2012-10-13,0.36,1,0,4,0.4848,0.5,15,251,364,615
2012-05-03,0.94,3,0,2,0.4394,0.44,7,8,376,384
2012-06-08,0.29,1,0,2,0.6667,0.76,15,98,299,397
2011-12-14,0.75,1,0,4,0.303,0.26,4,0,4,4
2011-01-15,0.59,1,0,1,0.2273,0.16,5,0,1,1
2012-05-03,0.77,2,0,2,0.5,0.52,10,36,132,168
2011-06-26,0.51,1,0,3,0.6515,0.7,22,19,95,114
2012-01-27,0.51,1,0,1,0.4394,0.44,16,26,241,267
2011-03-06,0.88,2,0,1,0.4242,0.42,4,0,3,3
2012-07-25,0.65,1,0,3,0.6061,0.64,6,11,179,190
2012-03-24,0.77,1,0,2,0.5152,0.54,2,14,55,69
2011-10-28,0.61,2,0,4,0.2879,0.3,5,0,25,25
2012-02-02,0.77,2,0,1,0.4242,0.42,13,13,124,137
2012-01-20,0.34,2,0,1,0.2273,0.2,20,1,141,142
2011-04-19,0.88,1,0,2,0.4545,0.46,23,11,41,52
2011-04-14,0.42,1,0,2,0.5152,0.54,12,35,110,145
2012-12-10,0.94,2,0,4,0.4848,0.5,14,31,179,210
2011-02-21,0.26,2,1,1,0.4242,0.42,6,2,6,8
2011-11-02,0.45,1,0,4,0.4848,0.5,14,40,132,172
2011-08-16,0.51,1,0,3,0.6667,0.74,11,40,110,150
2011-12-29,0.55,1,0,1,0.197,0.2,3,0,2,2
2011-11-03,0.76,1,0,4,0.4091,0.4,21,4,140,144
2012-08-04,0.47,1,0,3,0.803,0.86,11,155,315,470
2011-04-26,0.88,1,0,2,0.5152,0.54,5,0,16,16
2011-08-20,0.83,1,0,3,0.5606,0.6,5,0,8,8
2012-04-10,0.71,1,0,2,0.3485,0.36,3,0,2,2
2012-03-20,0.69,1,0,1,0.5909,0.6,18,136,665,801
2011-12-18,0.55,1,0,4,0.2424,0.22,2,2,39,41
2012-05-27,0.58,1,0,2,0.7121,0.76,13,270,228,498
2011-06-05,0.69,2,0,2,0.6061,0.64,11,121,214,335
2012-01-14,0.44,1,0,1,0.197,0.2,20,8,95,103
2011-11-04,0.55,2,0,4,0.4697,0.48,12,44,153,197
2011-04-09,0.87,2,0,2,0.2879,0.3,0,5,26,31
2011-10-02,0.81,3,0,4,0.3485,0.36,14,61,195,256
2012-08-01,0.62,3,0,3,0.7121,0.76,18,105,786,891
2011-02-13,0.35,1,0,1,0.4091,0.4,19,11,50,61
2011-01-19,0.62,1,0,1,0.4091,0.4,13,11,67,78
2011-10-22,0.76,1,0,4,0.3636,0.36,7,8,49,57
2011-05-03,0.61,2,0,2,0.6364,0.68,12,48,169,217
2012-09-08,0.88,3,0,3,0.5303,0.56,16,19,95,114
2011-08-07,0.89,1,0,3,0.6667,0.7,5,1,4,5
2011-03-20,0.56,1,0,1,0.2727,0.28,3,1,11,12
2011-01-10,0.5,2,0,1,0.1212,0.14,10,0,31,31
2012-07-02,0.32,1,0,3,0.7273,0.84,17,82,665,747
2012-01-08,0.6,1,0,1,0.2727,0.26,22,4,54,58
2012-02-27,0.37,1,0,1,0.4091,0.4,12,13,164,177
2012-01-28,0.35,1,0,1,0.4091,0.4,20,5,115,120
2011-10-06,0.77,1,0,4,0.4848,0.5,20,29,231,260
2011-01-09,0.53,1,0,1,0.0909,0.08,4,0,1,1
2012-03-30,0.61,1,0,2,0.3333,0.34,3,0,7,7
2012-04-09,0.32,1,0,2,0.5152,0.54,17,67,565,632
2012-09-07,0.55,1,0,3,0.7576,0.8,16,75,395,470
2012-09-11,0.72,1,0,3,0.4697,0.48,4,1,8,9
2011-01-31,0.59,3,0,1,0.1667,0.16,20,0,78,78
2011-08-17,0.54,1,0,3,0.6515,0.7,8,35,452,487
2011-05-07,0.82,1,0,2,0.4242,0.42,2,5,47,52
2012-06-11,0.65,1,0,2,0.6515,0.7,0,8,33,41
2012-05-04,0.88,1,0,2,0.5303,0.56,7,9,347,356
2011-08-14,0.83,3,0,3,0.5606,0.6,23,5,22,27
2012-02-15,0.41,1,0,1,0.4242,0.42,15,7,164,171
